tree_cn,plot_cn,block,plot,x_pos,y_pos,tree,position,species,spec_long,spec_short,origin,group,plot_species,sr,fert,mortality_2017,mortality_2018,mortality_2019,beetles,height_2017,height_2018,dia_2017,dia_2018,height,pos,rsheight,height_new
I.1.1.1.1,I.1.1,1,1,1,1,1.1,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,NW,1.99446799560833,1.99446799560833
I.1.1.1.2,I.1.1,1,1,1,2,1.2,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,N,2.20363042474533,2.20363042474533
I.1.1.1.3,I.1.1,1,1,1,3,1.3,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,N,2.20363042474533,2.20363042474533
I.1.1.1.4,I.1.1,1,1,1,4,1.4,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,N,2.20363042474533,2.20363042474533
I.1.1.1.5,I.1.1,1,1,1,5,1.5,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,N,2.20363042474533,2.20363042474533
I.1.1.1.6,I.1.1,1,1,1,6,1.6,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,N,2.20363042474533,2.20363042474533
I.1.1.1.7,I.1.1,1,1,1,7,1.7,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,NE,2.27421393886131,2.27421393886131
I.1.1.2.1,I.1.1,1,1,2,1,2.1,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,W,2.14827540673834,2.14827540673834
I.1.1.2.2,I.1.1,1,1,2,2,2.2,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,122,156,18,21,1.56,NA,NA,1.56
I.1.1.2.3,I.1.1,1,1,2,3,2.3,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,217,287,30,37.5,2.87,NA,NA,2.87
I.1.1.2.4,I.1.1,1,1,2,4,2.4,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,dead,dead,dead,0,NA,NA,NA,NA,NA,NA,NA,0
I.1.1.2.5,I.1.1,1,1,2,5,2.5,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,172,230,26,29,2.3,NA,NA,2.3
I.1.1.2.6,I.1.1,1,1,2,6,2.6,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,204,282,29,34,2.82,NA,NA,2.82
I.1.1.2.7,I.1.1,1,1,2,7,2.7,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,E,2.25525777628634,2.25525777628634
