plot_cn,tree_cn,tree,ACPL,ACSA,BEPA,BEPE,LADE,LALA,PIAB,PIPU,PIST,PISY,QURO,QURU
I.1.1,I.1.1.1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.1.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.2.2,2.2,0,0,0,0,0,0,9.783579448582838,0,0,0,0,0
I.1.1,I.1.1.2.3,2.3,0,0,0,0,0,0,4.244036747100558,0,0,0,0,0
I.1.1,I.1.1.2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.2.5,2.5,0,0,0,0,0,0,5.9872301436326065,0,0,0,0,0
I.1.1,I.1.1.2.6,2.6,0,0,0,0,0,0,5.633454680501498,0,0,0,0,0
I.1.1,I.1.1.2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.3.2,3.2,0,0,0,0,0,0,6.739203273166716,0,0,0,0,0
I.1.1,I.1.1.3.3,3.3,0,0,0,0,0,0,4.677164045987207,0,0,0,0,0
I.1.1,I.1.1.3.4,3.4,0,0,0,0,0,0,5.744502383989514,0,0,0,0,0
I.1.1,I.1.1.3.5,3.5,0,0,0,0,0,0,8.591725833567834,0,0,0,0,0
I.1.1,I.1.1.3.6,3.6,0,0,0,0,0,0,5.670407524690657,0,0,0,0,0
I.1.1,I.1.1.3.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.4.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.4.2,4.2,0,0,0,0,0,0,36.944468482423204,0,0,0,0,0
I.1.1,I.1.1.4.3,4.3,0,0,0,0,0,0,8.95823607163255,0,0,0,0,0
I.1.1,I.1.1.4.4,4.4,0,0,0,0,0,0,8.488759699217484,0,0,0,0,0
I.1.1,I.1.1.4.5,4.5,0,0,0,0,0,0,5.164946091361664,0,0,0,0,0
I.1.1,I.1.1.4.6,4.6,0,0,0,0,0,0,5.483698742593759,0,0,0,0,0
I.1.1,I.1.1.4.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.5.1,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.5.2,5.2,0,0,0,0,0,0,4.892141432306074,0,0,0,0,0
I.1.1,I.1.1.5.3,5.3,0,0,0,0,0,0,4.98949092326691,0,0,0,0,0
I.1.1,I.1.1.5.4,5.4,0,0,0,0,0,0,8.939130545642914,0,0,0,0,0
I.1.1,I.1.1.5.5,5.5,0,0,0,0,0,0,7.36273553606189,0,0,0,0,0
I.1.1,I.1.1.5.6,5.6,0,0,0,0,0,0,6.51516652232156,0,0,0,0,0
I.1.1,I.1.1.5.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.6.1,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.6.2,6.2,0,0,0,0,0,0,5.949790701932715,0,0,0,0,0
I.1.1,I.1.1.6.3,6.3,0,0,0,0,0,0,7.659671317075595,0,0,0,0,0
I.1.1,I.1.1.6.4,6.4,0,0,0,0,0,0,7.083659887015289,0,0,0,0,0
I.1.1,I.1.1.6.5,6.5,0,0,0,0,0,0,5.596159825534803,0,0,0,0,0
I.1.1,I.1.1.6.6,6.6,0,0,0,0,0,0,5.6608921171963935,0,0,0,0,0
I.1.1,I.1.1.6.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.7.1,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.7.2,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.7.3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I.1.1,I.1.1.7.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
