"plot_cn","tree_cn","tree","beetles_neigh"
"I.1.1","I.1.1.1.1",1.1,NA
"I.1.1","I.1.1.1.2",1.2,NA
"I.1.1","I.1.1.1.3",1.3,NA
"I.1.1","I.1.1.1.4",1.4,NA
"I.1.1","I.1.1.1.5",1.5,NA
"I.1.1","I.1.1.1.6",1.6,NA
"I.1.1","I.1.1.1.7",1.7,NA
"I.1.1","I.1.1.2.1",2.1,NA
"I.1.1","I.1.1.2.2",2.2,0
"I.1.1","I.1.1.2.3",2.3,0
"I.1.1","I.1.1.2.4",2.4,0
"I.1.1","I.1.1.2.5",2.5,0
"I.1.1","I.1.1.2.6",2.6,0
"I.1.1","I.1.1.2.7",2.7,NA
"I.1.1","I.1.1.3.1",3.1,NA
"I.1.1","I.1.1.3.2",3.2,0
"I.1.1","I.1.1.3.3",3.3,0
"I.1.1","I.1.1.3.4",3.4,0
"I.1.1","I.1.1.3.5",3.5,0
"I.1.1","I.1.1.3.6",3.6,0
"I.1.1","I.1.1.3.7",3.7,NA
"I.1.1","I.1.1.4.1",4.1,NA
"I.1.1","I.1.1.4.2",4.2,0
"I.1.1","I.1.1.4.3",4.3,0
"I.1.1","I.1.1.4.4",4.4,0
"I.1.1","I.1.1.4.5",4.5,0
"I.1.1","I.1.1.4.6",4.6,0
"I.1.1","I.1.1.4.7",4.7,NA
"I.1.1","I.1.1.5.1",5.1,NA
"I.1.1","I.1.1.5.2",5.2,0
"I.1.1","I.1.1.5.3",5.3,0
"I.1.1","I.1.1.5.4",5.4,0
"I.1.1","I.1.1.5.5",5.5,0
"I.1.1","I.1.1.5.6",5.6,0
"I.1.1","I.1.1.5.7",5.7,NA
"I.1.1","I.1.1.6.1",6.1,NA
"I.1.1","I.1.1.6.2",6.2,0
"I.1.1","I.1.1.6.3",6.3,0
"I.1.1","I.1.1.6.4",6.4,0
"I.1.1","I.1.1.6.5",6.5,0
"I.1.1","I.1.1.6.6",6.6,0
"I.1.1","I.1.1.6.7",6.7,NA
"I.1.1","I.1.1.7.1",7.1,NA
"I.1.1","I.1.1.7.2",7.2,NA
"I.1.1","I.1.1.7.3",7.3,NA
"I.1.1","I.1.1.7.4",7.4,NA
"I.1.1","I.1.1.7.5",7.5,NA
"I.1.1","I.1.1.7.6",7.6,NA
"I.1.1","I.1.1.7.7",7.7,NA
"I.1.10","I.1.10.1.1",1.1,NA
"I.1.10","I.1.10.1.2",1.2,NA
"I.1.10","I.1.10.1.3",1.3,NA
"I.1.10","I.1.10.1.4",1.4,NA
"I.1.10","I.1.10.1.5",1.5,NA
"I.1.10","I.1.10.1.6",1.6,NA
"I.1.10","I.1.10.1.7",1.7,NA
"I.1.10","I.1.10.2.1",2.1,NA
"I.1.10","I.1.10.2.2",2.2,0
"I.1.10","I.1.10.2.3",2.3,0
"I.1.10","I.1.10.2.4",2.4,0
"I.1.10","I.1.10.2.5",2.5,0
"I.1.10","I.1.10.2.6",2.6,0
"I.1.10","I.1.10.2.7",2.7,NA
"I.1.10","I.1.10.3.1",3.1,NA
